year,age,event,category1,category2,New_Column,Name
2002,21,"Outside of music, Beyonce has starred as an actress in multiple films such as Austin Powers in Goldmember (2002), The Pink Panther (2006), Dreamgirls (2006), Cadillac Records (2008), Obsessed (2009), and The Lion King (2019).Having sold over 200 million records worldwide, Beyonce is one of the best-selling music artists of all time.",summary,,Beyonce.csv,Beyonce
1981,0,"Beyonce was born on September 4, 1981, in Houston, Texas, to Celestine ""Tina"" Knowles (née Beyonce), a hairdresser and salon owner, and Mathew Knowles, a Xerox sales manager.",Life and career,1981–1996: Early life and career beginnings,Beyonce.csv,Beyonce
1996,15,"Beyonce changed Beyonce's name to Destiny's Child in 1996, based upon a passage in the Book of Isaiah.",Life and career,1997–2002: Destiny's Child,Beyonce.csv,Beyonce
2007,26,"In April 2007, Beyonce embarked on The Beyonce Experience, Beyonce's first worldwide concert tour, visiting 97 venues and grossed over $24 million.[note 1]",Life and career,2006–2007: B'Day and Dreamgirls,Beyonce.csv,Beyonce
2009,28,"In March 2009, Beyonce embarked on the I Am... Tour, Beyonce's second headlining worldwide concert tour, consisting of 108 shows, grossing $119.5 million.[0",Life and career,2008–2010: I Am... Sasha Fierce,Beyonce.csv,Beyonce
2008,27,"Beyonce donated Beyonce's entire salary from the 2008 musical biopic Cadillac Records to Phoenix House, an organization of rehabilitation centers for heroin addicts around the United States.",Life and career,2008–2010: I Am... Sasha Fierce,Beyonce.csv,Beyonce
2010,29,"In 2010, Beyonce was featured on Lady Gaga's single ""Telephone"" and appeared in Lady Gaga's single ""Telephone""'s music video.",Life and career,2008–2010: I Am... Sasha Fierce,Beyonce.csv,Beyonce
2014,33,"As of November 2014[update], Beyonce has sold over 5 million copies worldwide and has generated over 1 billion streams, as of March 20142015[update].At the 57th Annual Grammy Awards in February 2015, Beyonce was nominated for six awards, ultimately winning three: Best R&B Performance and Best R&B Song for The single ""Drunk in Love"", featuring Jay-Z,, and Best Surround Sound Album for Beyonce. Beyonce was nominated for Album of the Year, but Album of the Year went to Beck for Beck's album Morning Phase.",Life and career,2013–2015: Beyoncé,Beyonce.csv,Beyonce
2019,38,"Beyonce is featured on the remake The Lion King, which was released in July 2019's , with a remake of the song ""Can You Feel the Love Tonight"" alongside Donald Glover, Billy Eichner and Seth Rogen, which was originally composed by Elton John.",Life and career,"2019–2021: Homecoming, The Lion King and Black Is King",Beyonce.csv,Beyonce
2020,39,"In April of 2020, Beyonce was featured on the remix of Megan Thee Stallion's song ""Savage"", marking Beyonce's first material of music for 2020.",Life and career,"2019–2021: Homecoming, The Lion King and Black Is King",Beyonce.csv,Beyonce
2006,25,"Beyonce paid homage to Anita Baker by performing ""Déjà Vu"" at the 2006 Fashion Rocks concert wearing Anita Baker's trademark mini-hula skirt embellished with fake bananas.",Artistry,Influences,Beyonce.csv,Beyonce
2012,31,"However, Beyonce announced in May 2012 that Beyonce would bring the alter ego ""Sasha Fierce"" back for Beyonce's Revel Presents: Beyoncé Live shows later that month.",Artistry,Alter ego,Beyonce.csv,Beyonce
2012,31,"Beyonce was named the ""World's Most Beautiful Woman"" by People and the ""Hottest Female Singer of All Time"" by Complex in 2012.",Public image,,Beyonce.csv,Beyonce
2007,26,"In 2007, Beyonce was featured on the cover of the Sports Illustrated Swimsuit Issue, becoming the second African American woman after Tyra Banks, and People magazine recognized Beyonce as the best-dressed celebrity.Beyonce has been named ""Queen Bey"" from publications over the years.",Public image,,Beyonce.csv,Beyonce
2018,37,"Beyonce wrote of her pregnancy and her pregnancy's aftermath in the September 2018 issue of Vogue, in which Beyonce had full control of the cover, shot at Hammerwood Park by photographer Tyler Mitchell.",Personal life,Marriage and children,Beyonce.csv,Beyonce
2009,28,"Beyonce performed ""America the Beautiful"" at President Barack Obama's's 2009 presidential inauguration, as well as ""At Last"" during the first inaugural dance at the Neighborhood Ball two days later.",Personal life,Activism,Beyonce.csv,Beyonce
2016,35,Beyonce also headlined for 2016 presidential nominee Hillary Clinton in a concert held the weekend before Election Day the next year.,Personal life,Activism,Beyonce.csv,Beyonce
2016,35,"In a concert held the weekend before Election Day the next year, Beyonce and her entourage of backup dancers wore pantsuits; a clear allusion to 2016 presidential nominee Hillary Clinton's frequent dress-of-choice.",Personal life,Activism,Beyonce.csv,Beyonce
2013,32,"Beyonce would later align Beyonce more publicly with the movement, sampling ""We should all be feminists"", a speech delivered by Nigerian author Chimamanda Ngozi Adichie at a TEDx talk in April 2013, in Beyonce's song ""Flawless"", released later that year.",Personal life,Activism,Beyonce.csv,Beyonce
2013,32,"Beyonce publicly endorsed same-sex marriage on March 26, 2013, after the Supreme Court debate on California's Proposition 8.",Personal life,Activism,Beyonce.csv,Beyonce
2016,35,"In a 2016 interview with Elle, Beyonce responded to the controversy surrounding Beyonce's song ""Formation"" which was perceived to be critical of the police.",Personal life,Activism,Beyonce.csv,Beyonce
2013,32,"2013, Beyonce was published as the fourth most-powerful celebrity in the Forbes magazine rankings.",Personal life,Wealth,Beyonce.csv,Beyonce
2010,29,", Alex Suskind noticed how Beyonce was the decade's's (2010s) defining pop star, stating that ""no one dominated music in the decade's like Beyonce"", explaining that Beyonce's ""songs, album rollouts, stage presence, social justice initiatives, and disruptive public relations strategy have influenced the way we've viewed music since 2010.""",Legacy,,Beyonce.csv,Beyonce
2004,23,"In 2004 and 2019, Beyonce received NAACP Image Award for Entertainer of the Year and the Soul Train Music Award for Sammy Davis Jr. – Entertainer of the Year.",Achievements,,Beyonce.csv,Beyonce
2005,24,"In 2005, Beyonce also received APEX Award at the Trumpet Award honoring the achievements of Black African Americans.",Achievements,,Beyonce.csv,Beyonce
2014,33,Beyonce received the Michael Jackson Video Vanguard Award at the 2014 MTV Video Music Awards and was honored as Honorary Mother of the Year at the Australian Mother of the Year Award in Barnardo's Australia for Beyonce's Humanitarian Effort in the region and the Council of Fashion Designers of America Fashion Icon Award in 2016.,Achievements,,Beyonce.csv,Beyonce
2020,39,"In 2020, Beyonce was awarded the BET Humanitarian Award.",Achievements,,Beyonce.csv,Beyonce
2006,25,"Beyonce won two awards at the Broadcast Film Critics Association Awards 2006; Best Song for ""Listen"" and Best Original Soundtrack for Dreamgirls: Music from the Motion Picture.",Achievements,,Beyonce.csv,Beyonce
2021,40,"On June 17, 2021, Beyonce was inducted into the Black Music & Entertainment Walk of Fame as a member of the inaugural class.",Achievements,,Beyonce.csv,Beyonce
2002,21,"Beyonce has worked with Pepsi since 2002, and in 2004 appeared in a Gladiator-themed commercial with Britney Spears, Pink, and Enrique Iglesias.",Business and ventures,Endorsements and partnerships,Beyonce.csv,Beyonce
2015,34,"Beyonce also has had deals with American Express, Nintendo DS and L'Oréal since the age of 18.In March 2015",Business and ventures,Endorsements and partnerships,Beyonce.csv,Beyonce
2005,24,"In 2005, Beyonce teamed up with House of Brands, a shoe company, to produce a range of footwear for House of Deréon, a contemporary women's fashion line.",Business and ventures,Fashion lines,Beyonce.csv,Beyonce
2020,39,"Deréon by Beyoncé was previewed on the upcoming Elle January 2020 issue, where Beyonce is seen wearing several garments, accessories and footwear from the first collection.",Business and ventures,Fashion lines,Beyonce.csv,Beyonce
2016,35,"As of 2016, Beyonce had donated $7 million for the maintenance of the Knowles-Temenos Place Apartments, a housing complex offering living space for 43 displaced individuals.",Business and ventures,Philanthropy,Beyonce.csv,Beyonce
2017,36,"Beyonce additionally donated $75,000 worth of new mattresses to survivors of Hurricane Harvey in August 2017.",Business and ventures,Philanthropy,Beyonce.csv,Beyonce
2020,65,"In March 2020, Bill Gates left Bill Gates's board positions at the software giant Microsoft and Berkshire Hathaway to focus on Bill Gates's philanthropic efforts on climate change, global health and development, and education.",summary,,Bill Gates.csv,Bill Gates
1987,32,"Since 1987, Bill Gates has been included in the Forbes list of the world's's billionaires.",summary,,Bill Gates.csv,Bill Gates
2017,62,"In 2017, Bill Gates was surpassed by Amazon founder and CEO Jeff Bezos, who had an estimated net worth of US$90.6 billion compared to Bill Gates's net worth of US$89.9 billion at the time.",summary,,Bill Gates.csv,Bill Gates
2023,68,"In the Forbes 400 list of wealthiest Americans in 2023, Bill Gates was ranked 6th with a wealth of $111.0 billion.",summary,,Bill Gates.csv,Bill Gates
2018,63,"In March 2018, Bill Gates met at Bill Gates's home in Seattle with Mohammed bin Salman, the reformist crown prince and de facto ruler of Saudi Arabia to discuss investment opportunities for Saudi Vision 2030.",Microsoft,Post-Microsoft,Bill Gates.csv,Bill Gates
2020,65,"Bill Gates's foundation did, however, establish the COVID-19 Therapeutics Accelerator in 2020 to hasten the development and evaluation of new and repurposed drugs and biologics to treat patients for COVID-19, and, as of February 2021, Bill Gates expressed that Bill Gates and Anthony Fauci frequently talk and collaborate on matters including vaccines and other medical innovations to fight the next pandemic.",Microsoft,Post-Microsoft,Bill Gates.csv,Bill Gates
2023,68,"Bill Gates gave further insights on climate change in Bill Gates's commencement address at Northern Arizona University on May 6, 2023, where Bill Gates was bestowed an honorary doctorate.",Climate change and energy,,Bill Gates.csv,Bill Gates
2021,66,"On February 18, 2021, after Bill Gates had banned Donald Trump from Bill Gates's platforms as a result of the 2020 United States presidential election which led to the January 6 United States Capitol attack, Bill Gates said a permanent ban of Trump ""would be a shame"" and would be an ""extreme measure"".",Political positions,Donald Trump Facebook ban,Bill Gates.csv,Bill Gates
2010,55,"Gates and his wife invited Joan Salwen to Seattle to speak about what Bill Gates had done, and on December 9, 2010, Bill and Melinda Gates and investor Warren Buffett each signed a commitment Bill and Melinda Gates and investor Warren Buffett called the ""Giving Pledge"", which is a commitment by Bill and Melinda Gates and investor Warren Buffett to donate at least half of Bill and Melinda Gates and investor Warren Buffett's wealth, over the course of time, to charity.",Philanthropy,Personal donations,Bill Gates.csv,Bill Gates
1998,43,"In 1998, Bill Gates reportedly paid $30 million for the original 1885 maritime painting Lost on the Grand Banks, at the time a record price for an American painting.",Personal life,,Bill Gates.csv,Bill Gates
